target_id,molecule_chembl_id,standard_type,standard_value,standard_units
CHEMBL2487,CHEMBL81260,Ki,10.3,nM
CHEMBL2487,CHEMBL55380,Ki,0.9,nM
CHEMBL2487,CHEMBL78410,Ki,2000.0,nM
CHEMBL2487,CHEMBL81685,Ki,1000.0,nM
CHEMBL2487,CHEMBL78621,Ki,242.0,nM
CHEMBL2487,CHEMBL312622,Ki,2000.0,nM
CHEMBL2487,CHEMBL310444,Ki,2000.0,nM
CHEMBL2487,CHEMBL78765,Ki,638.0,nM
CHEMBL2487,CHEMBL309920,Ki,339.0,nM
CHEMBL2487,CHEMBL78012,Ki,15.0,nM
CHEMBL2487,CHEMBL311035,Ki,2000.0,nM
CHEMBL2487,CHEMBL311039,IC50,5000.0,nM
CHEMBL2487,CHEMBL450926,IC50,2700.0,nM
CHEMBL2487,CHEMBL310242,IC50,1800.0,nM
CHEMBL2487,CHEMBL74874,IC50,11000.0,nM
CHEMBL2487,CHEMBL75183,IC50,10000.0,nM
CHEMBL2487,CHEMBL76112,Ki,0.13,nM
CHEMBL2487,CHEMBL74348,Ki,0.27,nM
CHEMBL2487,CHEMBL305634,Ki,0.19,nM
CHEMBL2487,CHEMBL300172,Ki,0.14,nM
CHEMBL2487,CHEMBL424,Ki,1800.0,nM
CHEMBL2487,CHEMBL74704,Ki,0.11,nM
CHEMBL2487,CHEMBL55380,Ki,2000.0,nM
CHEMBL2487,CHEMBL55380,Ki,0.9,nM
CHEMBL2487,CHEMBL55380,Ki,5000.0,nM
CHEMBL2487,CHEMBL55380,Ki,2.2,nM
CHEMBL2487,CHEMBL58092,Ki,2000.0,nM
CHEMBL2487,CHEMBL58092,Ki,5.4,nM
CHEMBL2487,CHEMBL58092,Ki,2000.0,nM
CHEMBL2487,CHEMBL58092,Ki,6.4,nM
CHEMBL2487,CHEMBL292910,Ki,0.17,nM
CHEMBL2487,CHEMBL292910,Ki,1000.0,nM
CHEMBL2487,CHEMBL292910,Ki,0.8,nM
CHEMBL2487,CHEMBL292910,Ki,1000.0,nM
CHEMBL2487,CHEMBL300172,Ki,0.14,nM
CHEMBL2487,CHEMBL300172,Ki,1000.0,nM
CHEMBL2487,CHEMBL300172,Ki,0.4,nM
CHEMBL2487,CHEMBL300172,Ki,2000.0,nM
CHEMBL2487,CHEMBL55401,Ki,2000.0,nM
CHEMBL2487,CHEMBL55401,Ki,1.9,nM
CHEMBL2487,CHEMBL55401,Ki,3000.0,nM
CHEMBL2487,CHEMBL55401,Ki,0.8,nM
CHEMBL2487,CHEMBL57267,Ki,9000.0,nM
CHEMBL2487,CHEMBL57267,Ki,116.0,nM
CHEMBL2487,CHEMBL57267,Ki,4000.0,nM
CHEMBL2487,CHEMBL57267,Ki,294.0,nM
CHEMBL2487,CHEMBL55536,Ki,2000.0,nM
CHEMBL2487,CHEMBL55536,Ki,1.6,nM
CHEMBL2487,CHEMBL55536,Ki,2400.0,nM
CHEMBL2487,CHEMBL55536,Ki,5.0,nM
CHEMBL2487,CHEMBL328430,Ki,1.9,nM
CHEMBL2487,CHEMBL93334,Ki,11.0,nM
CHEMBL2487,CHEMBL93124,Ki,4.3,nM
CHEMBL2487,CHEMBL92802,Ki,8.6,nM
CHEMBL2487,CHEMBL92390,Ki,7.0,nM
CHEMBL2487,CHEMBL93118,Ki,37.0,nM
CHEMBL2487,CHEMBL328660,Ki,1.7,nM
CHEMBL2487,CHEMBL93884,Ki,46.0,nM
CHEMBL2487,CHEMBL55401,Ki,2.9,nM
CHEMBL2487,CHEMBL92816,Ki,4.0,nM
CHEMBL2487,CHEMBL93270,Ki,64.0,nM
CHEMBL2487,CHEMBL92801,Ki,11.0,nM
CHEMBL2487,CHEMBL57267,Ki,580.0,nM
